"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","IP","W%","QS","BS","WP","HB","IBB","1B","2B","3B","HR","HR/9","K/9","BB/9","BR/9","BAA"
"Lance McCullers Jr.","HOU","SP","57","CP DLT","27","","162.33","6.49","25","128.1",".625","13","0","14","7","0","60","27","1","12","0.84","9.96","3.51","11.01",".215"
"Dallas Keuchel","CHW","SP","58","FA","32","","160.67","4.73","34","204.2",".522","20","0","9","2","0","144","48","1","18","0.79","6.73","2.55","11.92",".263"
"Mike Fiers","OAK","SP","59","FA","35","","160.5","5.18","31","172",".600","15","0","4","8","1","99","32","3","32","1.67","7.27","1.94","11.04",".249"
"Sean Manaea","OAK","SP","60","Ass","28","","156.17","5.78","27","160.2",".571","15","0","9","8","1","93","24","3","21","1.18","6.05","1.79","10.14",".232"
"Robbie Ray","TOR","SP","61","Nunez","29","","154.67","6.44","24","123.2",".750","7","0","5","5","3","62","16","0","19","1.38","12.01","5.09","12.52",".216"
"Eduardo Rodriguez","BOS","SP","62","NT 13","27","","154.17","5.71","27","129.2",".722","7","0","1","4","1","84","16","3","16","1.11","10.13","3.12","11.66",".238"
"Raisel Iglesias","LAA","RP","63","CP DLT","30","","153","2.32","66","72",".286","0","4","2","2","2","31","9","0","12","1.50","10.00","3.13","9.88",".199"
"Derek Holland","PIT","SP","64","FA","34","","152.83","4.25","36","171.1",".438","11","0","2","4","6","90","42","3","19","1.00","8.88","3.52","11.82",".241"
"Jose Leclerc","TEX","RP","65","NT 13","26","","152.67","2.59","59","57.2",".400","0","4","2","3","1","14","8","1","1","0.16","13.27","3.90","8.12",".126"
"Sean Doolittle","WSH","RP","66","FA","34","","152.5","3.55","43","45",".500","0","1","1","2","1","15","3","0","3","0.60","12.00","1.20","5.80",".135"
"Dellin Betances","NYM","RP","67","BART","32","","151.17","2.29","66","66.2",".400","0","3","4","5","2","31","6","0","7","0.94","15.53","3.51","10.13",".186"
"Alex Colome","(N/A)","RP","68","Ass","31","","151","2.16","70","68",".583","0","5","10","3","2","43","8","1","7","0.93","9.53","2.78","10.99",".230"
"Marco Gonzales","SEA","SP","69","MSBC","28","","149.67","5.16","29","166.2",".591","13","0","2","6","0","114","39","2","17","0.92","7.83","1.73","11.34",".267"
"David Robertson","PHI","RP","70","FA","35","","147.17","2.13","69","69.2",".727","0","4","1","0","1","23","14","2","7","0.90","11.76","3.36","9.30",".183"
"Alex Wood","LAD","SP","71","FA","29","","145.17","4.4","33","151.2",".563","13","0","2","8","5","104","25","0","14","0.83","8.01","2.37","11.33",".247"
"Carlos Martinez","STL","SP","72","Ass","29","","144.67","4.38","33","118.2",".571","9","0","5","11","4","74","19","2","5","0.38","8.87","4.55","12.97",".228"
"Jose Quintana","CHC","SP","73","FA","31","","143.83","4.49","32","174.1",".542","13","0","3","3","3","102","32","3","25","1.29","8.16","3.51","12.03",".246"
"Jose Alvarado","TB","RP","74","FA","25","","143.5","2.05","70","64",".143","0","4","2","1","4","30","10","1","1","0.14","11.25","4.08","10.13",".183"
"Kenta Maeda","MIN","SP","75","MBC","32","","142.33","3.65","39","125.1",".444","5","0","2","5","4","68","31","3","13","0.93","10.99","3.09","11.70",".240"
"Clay Buchholz","(N/A)","SP","76","FA","36","","141.83","8.86","16","98.1",".778","10","0","1","3","1","51","19","1","9","0.82","7.41","2.01","9.61",".220"
"Zack Godley","BOS","SP","77","FA","30","","141.33","4.28","33","178.1",".577","14","0","17","12","2","125","32","4","16","0.81","9.34","4.09","13.63",".260"
"Hyun Jin Ryu","TOR","SP","78","VP","33","","141.33","9.42","15","82.1",".700","9","0","0","1","1","45","12","2","9","0.98","9.73","1.64","9.18",".221"
"Collin McHugh","BOS","RP","79","FA","33","","139.83","2.41","58","72.1",".750","0","1","0","5","0","29","9","1","6","0.75","11.70","2.61","8.83",".176"
"Reynaldo Lopez","CHW","SP","80","FA","26","","139.67","4.36","32","188.2",".412","19","0","7","10","1","102","34","4","25","1.19","7.20","3.58","11.93",".234"
"Mike Minor","KC","SP","81","FA","32","","138.5","4.95","28","157",".600","13","0","3","8","1","70","38","5","25","1.43","7.57","2.18","10.55",".235"
"Steve Cishek","(N/A)","RP","82","FA","34","","137.83","1.72","80","70.1",".571","0","3","2","9","4","28","8","4","5","0.64","9.98","3.58","10.49",".181"
"Jon Gray","COL","SP","83","MSBC","29","","137.33","4.43","31","172.1",".571","13","0","6","6","1","113","36","4","27","1.41","9.56","2.72","12.43",".266"
"Wade LeBlanc","BAL","SP","84","FA","36","","136.5","4.27","32","162",".643","10","0","1","3","1","94","32","1","24","1.33","7.22","2.22","10.78",".246"
"Lou Trivino","OAK","RP","85","FA","29","","135","1.96","69","74",".727","0","5","4","2","4","39","6","0","8","0.97","9.97","3.77","10.46",".201"
"Tyler Anderson","(N/A)","SP","86","FA","30","","135","4.22","32","176",".438","16","0","9","3","1","96","35","4","30","1.53","8.39","3.02","11.61",".248"
"Craig Stammen","SD","RP","87","FA","36","","134.5","1.84","73","79",".727","0","5","3","3","3","44","18","0","3","0.34","10.03","1.94","9.68",".221"
"Luis Castillo","CIN","SP","88","BFT","28","","134.17","4.33","31","169.2",".455","11","0","4","5","1","94","36","0","28","1.49","8.75","2.60","11.25",".245"
"Ryan Pressly","HOU","RP","89","FA","32","","134","1.74","77","71",".667","0","6","8","3","1","42","8","1","6","0.76","12.80","2.79","10.39",".216"
"Kevin Gausman","SF","SP","90","ZL","29","","133.67","4.31","31","183.2",".476","16","0","6","7","1","121","39","3","26","1.27","7.25","2.45","12.05",".264"
"Corey Knebel","LAD","RP","91","FA","29","","132.33","2.32","57","55.1",".571","0","3","0","4","0","20","8","3","7","1.14","14.31","3.58","10.41",".194"
"Keone Kela","PIT","RP","92","NCNF","27","","132","2.44","54","52",".429","0","2","6","0","2","23","9","1","5","0.87","11.42","3.29","9.87",".199"
"Seth Lugo","NYM","RP","93","BART","31","","131.83","2.44","54","101.1",".429","1","1","2","2","4","60","11","1","9","0.80","9.15","2.49","9.86",".217"
"Jesse Chavez","TEX","RP","94","FA","37","","131.33","2.12","62","95.1",".714","0","1","1","0","1","60","10","1","13","1.23","8.69","1.60","9.53",".235"
"Matthew Boyd","DET","SP","95","MBC","29","","130.83","4.22","31","170.1",".409","14","0","6","11","0","85","33","1","27","1.43","8.40","2.69","10.99",".228"
"Seranthony Dominguez","PHI","RP","96","FA","26","","129.5","2.44","53","58",".286","0","4","10","4","2","21","7","0","4","0.62","11.48","3.41","9.00",".157"
"Dereck Rodriguez","DET","SP","97","FA","28","","129.33","6.16","21","118.1",".600","14","0","1","7","2","54","30","5","9","0.68","6.77","2.74","10.72",".223"
"Matt Barnes","BOS","RP","98","FA","30","","129.17","2.08","62","61.2",".600","0","3","8","2","1","31","10","1","5","0.73","14.01","4.52","11.68",".204"
"Chris Archer","PIT","SP","99","FA","32","","128.83","4.77","27","148.1",".429","12","0","6","6","3","96","39","1","19","1.15","9.83","2.97","12.74",".268"
"Jeurys Familia","NYM","RP","100","FA","31","","128.5","1.84","70","72",".571","0","6","2","2","1","45","11","1","3","0.38","10.38","3.50","11.25",".221"
"Jakob Junis","KC","SP","101","FA","28","","128","4.27","30","177",".429","14","0","9","15","1","119","27","4","32","1.63","8.34","2.19","12.20",".265"
"Yoshihisa Hirano","SEA","RP","102","FA","36","","125.33","1.67","75","66.1",".571","0","4","6","2","4","34","7","2","6","0.81","8.01","3.12","10.04",".209"
"Chad Green","NYY","RP","103","BFT","29","","125.17","1.99","63","75.2",".727","0","4","3","1","2","42","13","0","9","1.07","11.18","1.78","9.52",".229"
"Joakim Soria","OAK","RP","104","FA","36","","124.67","1.89","66","60.2",".429","0","5","2","2","1","36","11","2","4","0.59","11.13","2.37","10.53",".225"
"Madison Bumgarner","ARI","SP","105","Nunez","31","","124.17","5.91","21","129.2",".462","14","0","3","5","3","74","27","3","14","0.97","7.57","2.98","11.52",".238"
"Jake Arrieta","PHI","SP","106","FA","34","","124.17","4.01","31","172.2",".476","15","0","11","7","0","109","34","1","21","1.09","7.19","2.97","11.94",".254"
"Seunghwan Oh","COL","RP","107","FA","38","","122.83","1.68","73","68.1",".667","0","6","3","4","1","33","10","1","8","1.05","10.40","2.24","9.61",".209"
"Fernando Rodney","(N/A)","RP","108","FA","43","","122.83","1.81","68","64.1",".571","0","7","6","3","1","48","7","0","7","0.98","9.79","4.48","13.57",".250"
"A.J. Minter","ATL","RP","109","FA","27","","122.83","1.89","65","61.1",".571","0","2","5","2","1","44","9","1","3","0.44","10.13","3.23","11.89",".244"
"Richard Rodriguez","PIT","RP","110","FA","30","","122.33","1.94","63","69.1",".571","0","0","11","5","3","42","7","1","5","0.65","11.42","2.47","10.25",".217"
"Pedro Strop","CHC","RP","111","FA","35","","122.17","2.04","60","59.2",".857","0","4","3","5","3","26","8","0","4","0.60","8.60","3.17","9.65",".179"
"Tony Watson","SF","RP","112","FA","35","","121","1.68","72","66",".400","0","4","0","1","3","38","10","2","4","0.55","9.82","1.91","9.41",".224"
