"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","GP","IP","W%","QS","BS","WP","HB","IBB","1B","2B","3B","HR","HR/9","K/9","BB/9","BR/9","BAA"
"Parker Bugg","MIA","RP","2452","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Billy Bullock","MIN","RP","2453","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Bullock","MIL","P","2454","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gaither Bumgardner","NYM","P","2455","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Bundy","BAL","SP","2456","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Danny Burawa","ATL","RP","2457","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Burden","TOR","P","2458","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Burgos","DET","P","2459","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Enrique Burgos","(N/A)","RP","2460","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hiram Burgos","(N/A)","SP","2461","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greg Burke","PHI","RP","2462","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Burkhalter","MIL","P","2463","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gage Burland","TOR","P","2464","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jake Burnette","PIT","P","2465","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cory Burns","NYM","RP","2466","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jared Burton","TEX","RP","2467","FA","39","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Buschmann","ARI","RP","2468","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JD Busfield","TB","P","2469","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tanner Bushue","HOU","SP","2470","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keith Butler","STL","RP","2471","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Butler","SD","RP","2472","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Butler","BAL","RP","2473","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Butto","NYM","SP","2474","W (Sun)","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brett Butts","ATL","RP","2475","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elixon Caballero","TOR","RP","2476","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Cabezas","MIN","P","2477","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cesar Cabral","BOS","RP","2478","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alberto Cabrera","DET","RP","2479","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edwar Cabrera","HOU","SP","2480","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fernando Cabrera","SF","RP","2481","FA","39","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeisson Cabrera","LAD","SP","2482","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Cabrera","SD","SP","2483","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mauricio Cabrera","(N/A)","RP","2484","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sandro Cabrera","SF","RP","2485","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oriel Caicedo","ATL","SP","2486","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Colton Cain","PIT","SP","2487","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Cain","(N/A)","SP","2488","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Cales","CHC","RP","2489","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamie Callahan","SF","RP","2490","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Calomeni","COL","P","2491","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Camarena","SD","RP","2492","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesus Camargo","CHC","SP","2493","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Cameron","SF","RP","2494","FA","41","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Arquimedes Caminero","(N/A)","RP","2495","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holden Cammack","CHC","P","2496","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eddie Campbell","SEA","P","2497","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Campbell","LAD","P","2498","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leonel Campos","(N/A)","RP","2499","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vicente Campos","PIT","RP","2500","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Canelon","NYM","SP","2501","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob Cantleberry","LAD","P","2502","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Holden Capps","KC","P","2503","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Capps","ARI","RP","2504","FA","37","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Capuano","(N/A)","RP","2505","FA","42","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Parker Caracci","TOR","P","2506","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yender Caramo","KC","SP","2507","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adonis Cardona","TOR","SP","2508","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Juan Carela","NYY","SP","2509","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Carignan","SF","RP","2510","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jared Carkuff","SD","RP","2511","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sean Carley","NYY","P","2512","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Carlton","DET","RP","2513","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Buddy Carlyle","(N/A)","RP","2514","FA","42","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Carpenter","CIN","RP","2515","FA","35","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Carpenter","(N/A)","RP","2516","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Carpenter","LAA","P","2517","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Carr","PHI","RP","2518","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Carranza","CHW","P","2519","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Carrasco","OAK","SP","2520","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joel Carreno","NYM","RP","2521","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcelo Carreno","DET","SP","2522","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Faustino Carrera","CHC","SP","2523","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cesar Carrillo","ARI","RP","2524","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dalton Carroll","ATL","RP","2525","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Damion Carroll","TB","P","2526","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Scott Carroll","CHC","RP","2527","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Carson","LAD","RP","2528","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Carter","CHW","RP","2529","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"C.J. Carter","MIA","RP","2530","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eric Carter","STL","RP","2531","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Will Carter","NYY","P","2532","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yimi Carty","WSH","RP","2533","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronny Carvajal","TEX","RP","2534","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Franyel Casadilla","STL","SP","2535","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jean Casanova","TEX","RP","2536","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Case","TOR","RP","2537","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brad Case","PIT","P","2538","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ralston Cash","LAD","SP","2539","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Casilla","SF","RP","2540","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jiorgeny Casimiri","TOR","RP","2541","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ranfi Casimiro","PHI","SP","2542","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Castellanos","DET","P","2543","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brayan Castillo","COL","SP","2544","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryan Castillo","LAD","SP","2545","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cristian Castillo","KC","SP","2546","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Fabio Castillo","LAD","RP","2547","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Simon Castro","(N/A)","RP","2548","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neraldo Catalina","TB","SP","2549","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Cates","SD","P","2550","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lindsey Caughel","LAD","P","2551","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Cecilio","SD","P","2552","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Ceda","MIA","RP","2553","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Cedeno","NYY","RP","2554","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Cederoth","MIN","P","2555","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brendan Cellucci","BOS","P","2556","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Henry Centeno","TB","SP","2557","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Cepeda","KC","SP","2558","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Charlie Cerny","OAK","P","2559","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hunter Cervenka","BAL","RP","2560","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Francis Cespedes","LAD","SP","2561","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matthew Chabot","SD","P","2562","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alejandro Chacin","(N/A)","RP","2563","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gustavo Chacin","NYM","RP","2564","FA","40","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adrian Chacon","CIN","P","2565","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Raidel Chacon","LAD","RP","2566","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cannon Chadwick","NYM","P","2567","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Chaffee","ATL","P","2568","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Chaffee","LAA","SP","2569","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Chambuco","NYY","RP","2570","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jace Chancellor","SD","RP","2571","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sean Chandler","TEX","P","2572","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jaye Chapman","(N/A)","RP","2573","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Chapman","DET","RP","2574","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sandi Charle","LAA","RP","2575","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dylan Chavez","BOS","P","2576","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesus Chavez","PHI","SP","2577","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lupe Chavez","HOU","SP","2578","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rocky Cherry","SD","RP","2579","FA","41","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Chin","NYY","P","2580","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Chirinos","(N/A)","SP","2581","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Angel Chivilli","COL","SP","2582","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adam Choplick","TEX","P","2583","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jhoander Chourio","NYM","RP","2584","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gilberto Chu","WSH","SP","2585","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Church","NYM","P","2586","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marc Church","TEX","P","2587","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony Ciavarella","STL","P","2588","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Cisco","CIN","P","2589","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Cisco","LAA","RP","2590","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesus Cisneros","SD","RP","2591","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cesar Ciurcina","(N/A)","RP","2592","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Preston Claiborne","(N/A)","RP","2593","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matthew Clancy","SEA","P","2594","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bailey Clark","CHC","P","2595","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brian Clark","CHW","P","2596","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ethan Clark","MIA","P","2597","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Claussen","WSH","SP","2598","FA","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Porter Clayton","TB","P","2599","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maikel Cleto","(N/A)","RP","2600","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Cleveland","NYM","P","2601","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Will Clinard","DET","P","2602","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JC Cloney","KC","P","2603","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trey Cobb","NYM","P","2604","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Franny Cobos","HOU","RP","2605","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trey Cochran-Gill","SEA","P","2606","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor Cockrell","ATL","P","2607","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Coello","(N/A)","RP","2608","FA","36","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chase Cohen","OAK","P","2609","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Phil Coke","NYY","RP","2610","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Calvin Coker","OAK","P","2611","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mason Cole","TEX","RP","2612","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vince Coletti","OAK","P","2613","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Coley","PIT","P","2614","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leoner Colina","MIL","SP","2615","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Colla","PIT","P","2616","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Willy Collado","HOU","RP","2617","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tommy Collier","DET","SP","2618","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Collop","CHW","SP","2619","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesus Colome","COL","RP","2620","FA","42","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brody Colvin","PHI","SP","2621","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Colon","STL","RP","2622","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shane Combs","CHC","RP","2623","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Comer","TOR","P","2624","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christopher Comito","CHW","P","2625","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Victor Concepcion","SF","SP","2626","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gerardo Concepcion","(N/A)","RP","2627","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob Condra-Bogan","WSH","RP","2628","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mark Conger","DET","P","2629","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryce Conley","OAK","P","2630","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Conlon","SF","P","2631","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Patrick Connaughton","BAL","P","2632","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Conroy","BAL","P","2633","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob Constante","CIN","SP","2634","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Conway","CHW","RP","2635","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joshua Conway","CHC","RP","2636","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Troy Conyers","ATL","P","2637","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clayton Cook","CLE","P","2638","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harrison Cooney","LAA","P","2639","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Cooper","CLE","SP","2640","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Cooper","CLE","P","2641","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Cooper","CHW","P","2642","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corey Copping","TOR","RP","2643","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Starlin Cordero","SD","RP","2644","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erik Cordier","BOS","RP","2645","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyson Corley","CHW","RP","2646","FA","34","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Riley Cornelio","(N/A)","RP","2647","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Cornelius","STL","SP","2648","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Cornely","BOS","RP","2649","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Manuel Corpas","(N/A)","RP","2650","FA","38","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hector Correa","SF","RP","2651","FA","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Correa","CIN","SP","2652","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Correia","(N/A)","SP","2653","FA","40","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zachary Correll","CIN","P","2654","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dan Cortes","SD","RP","2655","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edward Jake Cosart","BOS","SP","2656","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarred Cosart","SD","SP","2657","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Christian Cosby","KC","P","2658","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tom Cosgrove","SD","P","2659","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cale Coshow","NYY","P","2660","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jean Cosme","SD","P","2661","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clark Cota","OAK","P","2662","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Cote","NYY","P","2663","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Caleb Cotham","CIN","RP","2664","FA","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gabriel Cotto","PHI","P","2665","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Cotton","HOU","P","2666","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jamaine Cotton","HOU","P","2667","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
