"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","W","SV","IP","K/9","BB/9","HR/9","GB/FB","HR/FB","BABIPA","ERA","LOB%","FIP"
"Arquimedes Caminero","(N/A)","RP","351","FA","33","","11","0.85","0","0","13","8.31","2.08","1.38","0.47","10.53","0.235","2.77",".893","4.17"
"Franklin Morales","(N/A)","RP","352","FA","34","","10.83","0.54","2","0","25.1","7.46","5.33","0.71","1.00","7.14","0.310","4.62",".740","4.59"
"Daniel Webb","(N/A)","RP","353","FA","31","","10.83","1.2","0","0","11.1","7.94","3.18","0.00","2.57","0.00","0.281","3.18",".692","2.38"
"Jake Dunning","CHW","RP","354","FA","32","","10.33","0.36","0","0","25.1","5.68","3.91","0.71","2.73","13.33","0.250","2.84",".833","4.51"
"Keith Butler","STL","RP","355","FA","31","","10","0.63","0","0","20","7.20","4.95","0.00","0.47","0.00","0.228","4.05",".640","3.29"
"Alex Colome","(N/A)","RP","356","Ass","31","","10","3.33","1","0","16","6.75","5.06","1.13","1.47","13.33","0.255","2.25",".755","5.09"
"Frank Francisco","CHW","RP","357","FA","41","","9.83","1.23","1","1","6.1","8.53","4.26","0.00","1.14","0.00","0.250","4.26",".625","3.09"
"Ross Detwiler","CHW","RP","358","BART","34","","9.83","0.76","2","0","71.1","4.92","1.77","0.63","1.52","6.49","0.349","4.04",".712","3.71"
"Donovan Hand","DET","RP","359","FA","34","","9.83","0.32","1","0","68.1","4.87","2.77","1.32","1.51","14.08","0.288","3.69",".819","5.05"
"Evan Scribner","(N/A)","RP","360","FA","35","","9.67","0.54","0","0","26.2","6.41","2.36","1.01","0.84","8.11","0.271","4.39",".694","3.92"
"Donnie Joseph","(N/A)","RP","361","FA","33","","8.67","1.44","0","0","5.2","11.12","6.35","0.00","0.57","0.00","0.308","0.00","1.000","2.74"
"Scott Baker","(N/A)","RP","362","FA","39","","8.5","2.83","0","0","15","3.60","2.40","1.80","0.46","10.71","0.140","3.60",".795","5.69"
"Josh Lueke","(N/A)","RP","363","FA","36","","8.33","0.44","0","0","21.1","10.55","5.06","1.27","0.61","9.68","0.351","5.06",".755","4.40"
"Nick Hagadone","SEA","RP","364","FA","34","","8.33","0.23","0","0","31.1","8.62","6.03","1.15","0.83","11.11","0.263","5.46",".609","4.85"
"Matt Shoemaker","TOR","SP","365","FA","34","","8","8","0","0","5","9.00","3.60","0.00","1.25","0.00","0.167","0.00","1.000","2.29"
"John Gast","STL","SP","366","FA","31","","7.83","2.61","2","0","12.1","5.84","3.65","0.73","2.10","10.00","0.263","5.11",".616","4.06"
"Cesar Cabral","BOS","RP","367","FA","31","","7.67","0.96","0","0","3.2","14.73","2.45","0.00","2.00","0.00","0.429","2.45",".800","1.45"
"Ryan Brasier","BOS","RP","368","FA","33","","7.5","1.07","0","0","9","7.00","4.00","1.00","0.82","9.09","0.261","2.00",".938","4.31"
"Joe Martinez","LAA","RP","369","FA","37","","7.5","3.75","1","0","5","5.40","0.00","0.00","0.43","0.00","0.250","1.80",".750","1.89"
"Zac Rosscup","COL","RP","370","FA","32","","7.17","0.72","0","0","6.2","9.45","9.45","1.35","0.20","10.00","0.133","1.35","1.047","6.09"
"Drake Britton","DET","RP","371","FA","31","","6.5","0.36","1","0","21","7.29","3.00","0.43","1.65","5.88","0.339","3.86",".714","3.09"
"Steven Wright","(N/A)","SP","372","FA","36","","6.33","1.58","2","0","13.1","6.75","6.08","0.00","0.94","0.00","0.308","5.40",".636","3.84"
"Paul Clemens","SD","SP","373","FA","32","","6.33","0.18","4","0","73.1","6.01","3.19","1.96","0.81","13.91","0.287","5.40",".708","5.74"
"James McDonald","(N/A)","SP","374","FA","36","","6.17","1.03","2","0","29.2","7.58","6.07","0.30","1.09","2.86","0.315","5.76",".553","4.17"
"Thad Weber","(N/A)","RP","375","FA","36","","6","0.75","0","0","15","6.00","4.80","1.20","2.09","18.18","0.244","2.40",".872","5.09"
"Brooks Raley","HOU","RP","376","FA","32","","5.5","0.61","0","0","14","9.00","5.14","1.29","1.70","20.00","0.265","5.14",".659","5.09"
"Jared Hughes","NYM","RP","377","FA","35","","5","0.17","2","0","32","6.47","4.50","0.56","2.42","8.33","0.340","4.78",".728","4.15"
"Cesar Jimenez","(N/A)","RP","378","FA","36","","5","0.26","1","0","17","5.82","5.29","0.53","0.76","4.00","0.250","3.71",".763","4.50"
"Neftali Feliz","SEA","RP","379","FA","32","","4.67","0.78","0","0","4.2","7.71","3.86","0.00","0.43","0.00","0.357","0.00","1.000","3.30"
"Cory Rasmus","LAA","RP","380","FA","33","","4.67","0.25","1","0","21.2","8.31","5.40","2.49","0.67","18.18","0.281","5.40",".769","6.64"
"Eury De La Rosa","HOU","RP","381","FA","30","","4.67","0.25","0","0","14.2","9.82","3.07","3.07","0.94","31.25","0.229","7.36",".455","6.36"
"Steve Johnson","CHW","RP","382","FA","33","","4.67","0.52","1","0","15.2","11.49","7.47","1.15","0.50","10.00","0.316","7.47",".579","4.69"
"Edgmer Escalona","(N/A)","RP","383","FA","34","","4.5","0.12","1","0","46","6.65","2.74","1.57","0.98","12.50","0.303","5.67",".634","4.92"
"Mauricio Robles","CHW","RP","384","FA","31","","4.17","1.39","0","0","4.2","11.57","5.79","0.00","1.33","0.00","0.438","1.93",".700","2.45"
"Jose De La Torre","CIN","RP","385","FA","35","","3.83","0.55","0","0","11.1","11.91","7.94","1.59","1.30","20.00","0.320","6.35",".714","5.65"
"Jose Dominguez","SD","RP","386","FA","30","","3.83","0.43","0","0","8.1","4.32","3.24","0.00","1.20","0.00","0.355","2.16",".800","3.57"
"Jeurys Familia","NYM","RP","387","FA","31","","3.67","0.41","0","1","10.2","6.75","7.59","1.69","1.55","18.18","0.323","4.22",".879","6.56"
"Chris Dwyer","BAL","RP","388","FA","32","","3.5","1.75","0","0","3","6.00","3.00","0.00","1.33","0.00","0.250","0.00","1.000","2.76"
"Cory Burns","NYM","RP","389","FA","33","","3.33","0.33","1","0","11.1","3.97","5.56","0.79","0.64","4.55","0.275","3.18",".860","5.47"
"Rob Scahill","(N/A)","RP","390","FA","33","","3.33","0.14","1","0","33.1","5.40","2.43","1.35","1.77","16.67","0.324","5.13",".739","5.01"
"C.C. Lee","LAD","RP","391","FA","34","","3.33","0.42","0","0","4.1","8.31","6.23","0.00","0.67","0.00","0.286","4.15",".625","4.01"
"Ethan Martin","ATL","RP","392","FA","31","","3","0.2","2","0","40","10.57","5.85","2.02","0.67","17.31","0.311","6.08",".745","5.69"
"Tyler Robertson","MIA","RP","393","FA","32","","3","1.5","0","0","1","18.00","0.00","9.00","1.00","100.00","0.000","9.00",".000","12.09"
"Gavin Floyd","(N/A)","SP","394","FA","37","","2.83","0.57","0","0","24.1","9.25","4.44","1.48","1.67","19.05","0.343","5.18",".719","4.65"
"Rafael Dolis","TOR","RP","395","BFT","32","","2.5","0.5","0","0","5","0.00","3.60","0.00","0.88","0.00","0.158","0.00",".600","4.29"
"Evan Reed","(N/A)","RP","396","FA","34","","2.33","0.15","0","0","23.1","6.56","3.09","0.77","2.16","10.53","0.342","4.24",".614","3.90"
"Nick Maronde","(N/A)","RP","397","FA","31","","2.33","0.23","0","0","5.1","8.44","13.50","1.69","2.00","25.00","0.214","6.75",".566","8.15"
"Jair Jurrjens","LAD","SP","398","FA","34","","2.33","1.17","0","0","7.1","7.36","1.23","1.23","0.50","7.14","0.348","4.91",".698","3.64"
"Duke Welker","SF","RP","399","FA","34","","2.33","1.17","0","0","1.1","6.75","0.00","0.00","0.50","0.00","0.000","0.00","0","1.59"
"Simon Castro","(N/A)","RP","400","FA","32","","2.17","0.54","0","0","6.2","8.10","4.05","1.35","0.36","9.09","0.250","2.70",".921","5.04"
"Enny Romero","(N/A)","RP","401","FA","29","","2.17","2.17","0","0","4.2","0.00","7.71","0.00","2.25","0.00","0.071","0.00","1.000","5.66"
"Bobby LaFromboise","(N/A)","RP","402","FA","34","","2.17","0.22","0","0","10.2","9.28","3.38","0.00","1.10","0.00","0.387","5.91",".500","2.15"
"Mickey Storey","LAD","RP","403","FA","34","","2","0.67","0","0","4","13.50","2.25","0.00","0.50","0.00","0.500","6.75",".571","0.84"
"Miles Mikolas","STL","SP","404","CP DLT","32","","1.67","0.83","0","0","1.2","5.40","5.40","0.00","0.00","0.00","0.000","0.00","1.000","5.49"
"Scott Barnes","CHC","RP","405","FA","33","","1.67","0.28","0","1","8.2","10.38","3.12","3.12","1.38","37.50","0.250","7.27",".682","7.01"
"Pedro Beato","PHI","RP","406","FA","34","","1.5","0.15","1","0","10","4.50","1.80","0.90","0.63","5.26","0.297","3.60",".735","4.29"
"Logan Kensing","DET","RP","407","FA","38","","1.17","1.17","0","0","0.2","13.50","13.50","0.00","0","0","0.000","0.00","1.000","4.59"
"Fernando Salas","(N/A)","RP","408","FA","35","","1","0.04","0","0","28","7.07","1.93","0.96","0.62","6.67","0.282","4.50",".638","3.66"
"Josh Tomlin","ATL","SP","409","FA","36","","1","1","0","0","2","0.00","0.00","0.00","0.60","0.00","0.250","0.00","1.000","3.09"
"Chris Narveson","MIA","RP","410","FA","38","","1","0.5","0","0","2","0.00","4.50","0.00","1.50","0.00","0.143","0.00","1.000","4.59"
"Phillippe Aumont","TOR","RP","411","FA","31","","0.83","0.04","1","0","19.1","8.84","6.05","0.00","2.64","0.00","0.400","4.19",".725","3.61"
"Jose Ortega","COL","RP","412","FA","32","","0.67","0.06","0","0","11.2","7.71","4.63","1.54","1.23","15.38","0.250","3.86",".845","5.40"
"Dellin Betances","NYM","RP","413","BART","32","","0.5","0.08","0","0","5","18.00","3.60","1.80","1.25","25.00","0.615","10.80",".521","2.89"
"Clay Rapada","SF","RP","414","FA","39","","0.5","0.12","0","0","2","0.00","9.00","0.00","0.67","0.00","0.143","0.00","1.000","6.09"
"Jake Petricka","(N/A)","RP","415","FA","32","","0.33","0.02","1","0","19.1","4.66","4.66","0.00","3.90","0.00","0.317","3.26",".774","3.76"
"Blake Wood","(N/A)","RP","416","FA","35","","0.33","0.17","0","0","1.1","6.75","20.25","0.00","2.00","0.00","0.250","0.00","1.000","8.34"
"Anthony Bass","TOR","RP","417","FA","33","","0","0","0","0","42","6.64","4.29","0.86","1.68","10.00","0.343","5.36",".688","4.28"
"Jose Berrios","MIN","SP","418","NT 4","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shane Bieber","CLE","SP","419","NT 4","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Castillo","CIN","SP","420","BFT","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Max Fried","ATL","SP","421","BFT","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zac Gallen","ARI","SP","422","DEAL","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lucas Giolito","CHW","SP","423","MSBC","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Glasnow","TB","SP","424","Ass","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marco Gonzales","SEA","SP","425","MSBC","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Hendricks","CHC","SP","426","Nunez","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dinelson Lamet","SD","SP","427","VP","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kenta Maeda","MIN","SP","428","MBC","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Nola","PHI","SP","429","NCNF","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Plesac","CLE","SP","430","Nunez","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Woodruff","MIL","SP","431","VP","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jacob deGrom","NYM","SP","432","NT 4","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"MacKenzie Gore","SD","SP","433","BFT","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ian Anderson","ATL","SP","434","VP","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Walker Buehler","LAD","SP","435","NT 4","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dylan Bundy","LAA","SP","436","NCNF","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corbin Burnes","MIL","SP","437","DEAL","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"German Marquez","COL","SP","438","NT 13","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sixto Sanchez","MIA","SP","439","CP DLT","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blake Snell","TB","SP","440","NT 13","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Julio Urias","LAD","SP","441","Nunez","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Anderson","TB","RP","442","Luka","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edwin Diaz","NYM","RP","443","BFT","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Hader","MIL","RP","444","BART","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sandy Alcantara","MIA","SP","445","MBC","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Civale","CLE","SP","446","DEAL","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jack Flaherty","STL","SP","447","MSBC","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cristian Javier","HOU","SP","448","DEAL","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pablo Lopez","MIA","SP","449","Nunez","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesus Luzardo","OAK","SP","450","DEAL","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dustin May","LAD","SP","451","Luka","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Paddack","SD","SP","452","CP DLT","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nate Pearson","TOR","SP","453","CP DLT","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Framber Valdez","HOU","SP","454","ZL","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Devin Williams","MIL","RP","455","MSBC","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Deivi Garcia","NYY","SP","456","DEAL","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Triston McKenzie","CLE","SP","457","Ass","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Casey Mize","DET","SP","458","MSBC","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brady Singer","KC","SP","459","NT 4","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Soroka","ATL","SP","460","Nunez","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Urquidy","HOU","SP","461","MSBC","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Raisel Iglesias","LAA","RP","462","CP DLT","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Karinchak","CLE","RP","463","NT 13","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Davies","SD","SP","464","BFT","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lance McCullers Jr.","HOU","SP","465","CP DLT","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chris Bassitt","OAK","SP","466","NT 4","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tony Gonsolin","LAD","SP","467","Ass","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Spencer Howard","PHI","SP","468","DEAL","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Kopech","CHW","SP","469","MBC","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Frankie Montas","OAK","SP","470","NCNF","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justus Sheffield","SEA","SP","471","CP DLT","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Noah Syndergaard","NYM","SP","472","Luka","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor Rogers","MIN","RP","473","Nunez","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dane Dunning","TEX","SP","474","Luka","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Heaney","LAA","SP","475","NT 13","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mitch Keller","PIT","SP","476","DEAL","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dylan Cease","CHW","SP","477","CP DLT","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Mahle","CIN","SP","478","NCNF","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joe Musgrove","PIT","SP","479","NT 13","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marcus Stroman","NYM","SP","480","ZL","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Griffin Canning","LAA","SP","481","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zach Eflin","PHI","SP","482","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brad Keller","KC","SP","483","Luka","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Eduardo Rodriguez","BOS","SP","484","NT 13","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tarik Skubal","DET","SP","485","VP","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kwang Hyun Kim","STL","SP","486","Nunez","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"David Peterson","NYM","SP","487","BART","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Yarbrough","TB","SP","488","NCNF","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kirby Yates","(N/A)","RP","489","Ass","33","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Elieser Hernandez","MIA","RP","490","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"John Means","BAL","SP","491","NCNF","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Severino","NYY","SP","492","VP","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jameson Taillon","PIT","SP","493","MSBC","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Masahiro Tanaka","(N/A)","SP","494","BFT","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matthew Boyd","DET","SP","495","MBC","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Seth Lugo","NYM","RP","496","BART","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sean Manaea","OAK","SP","497","Ass","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robbie Ray","TOR","SP","498","Nunez","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Spencer Turnbull","DET","SP","499","VP","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Pineda","MIN","SP","500","FA","31","","0","0","0","0","0","0","0","0","0","0","0.000","0","0","0"
"Alec Mills","CHC","RP","501","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diego Castillo","TB","RP","502","CP DLT","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luke Weaver","ARI","SP","503","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Domingo German","NYY","SP","504","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Montgomery","NYY","SP","505","Nunez","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Antonio Senzatela","COL","SP","506","CP DLT","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Caleb Smith","ARI","SP","507","NT 13","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yusei Kikuchi","SEA","SP","508","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Giovanny Gallegos","STL","RP","509","Luka","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tanner Houck","BOS","SP","510","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Wright","ATL","SP","511","MSBC","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tejay Antone","CIN","SP","512","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kris Bubic","KC","SP","513","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Hicks","STL","RP","514","MBC","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"A.J. Puk","OAK","RP","515","MBC","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Freddy Peralta","MIL","SP","516","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Reyes","STL","RP","517","CP DLT","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Manning","DET","SP","518","NCNF","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Patino","SD","RP","519","DEAL","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Logan Gilbert","SEA","SP","520","MSBC","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matt Barnes","BOS","RP","521","FA","30","","0","0","0","0","0","0","0","0","0","0","0.000","0","0","0"
"Jordan Romano","TOR","RP","522","VP","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Clevinger","SD","SP","523","NT 13","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Dunn","SEA","SP","524","ZL","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merrill Kelly","ARI","SP","525","BFT","32","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Forrest Whitley","HOU","SP","526","VP","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Randy Dobnak","MIN","RP","527","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rafael Montero","SEA","RP","528","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brusdar Graterol","LAD","RP","529","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Freeland","COL","SP","530","MSBC","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Clarke Schmidt","NYY","SP","531","VP","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Richard Rodriguez","PIT","RP","532","FA","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jon Gray","COL","SP","533","MSBC","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Staumont","KC","RP","534","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Roberto Osuna","HOU","RP","535","NT 13","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adrian Morejon","SD","SP","536","Ass","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dean Kremer","BAL","SP","537","Nunez","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adbert Alzolay","CHC","SP","538","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mike Mayers","LAA","RP","539","FA","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cal Quantrill","CLE","SP","540","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adrian Houser","MIL","RP","541","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ross Stripling","TOR","SP","542","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tanner Rainey","WSH","RP","543","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Garrett Crochet","CHW","RP","544","CP DLT","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Ponce de Leon","STL","RP","545","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevor Rogers","MIA","RP","546","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Archie Bradley","(N/A)","RP","547","NT 4","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brendan McKay","TB","1B,P","548","CP DLT","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pete Fairbanks","TB","RP","549","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Hudson","WSH","RP","550","FA","33","","0","0","0","0","0","0","0","0","0","0","0.000","0","0","0"
"Josh Fleming","TB","SP","551","NCNF","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edward Cabrera","MIA","RP","552","BFT","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Bummer","CHW","RP","553","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stefan Crichton","ARI","RP","554","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Lorenzen","CIN","RP","555","Luka","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keegan Akin","BAL","SP","556","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lucas Sims","CIN","SP","557","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brailyn Marquez","CHC","RP","558","VP","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dakota Hudson","STL","SP","559","Nunez","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josiah Gray","LAD","SP","560","VP","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Lodolo","CIN","SP","561","ZL","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Lynch","KC","SP","562","VP","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Logan Webb","SF","SP","563","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"George Kirby","SEA","SP","564","Luka","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan Hernandez","TEX","RP","565","BART","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brent Honeywell Jr.","TB","SP","566","Ass","25","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryse Wilson","ATL","SP","567","Ass","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anthony DeSclafani","CIN","SP","568","VP","30","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jackson Kowar","KC","SP","569","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Emmanuel Clase","CLE","RP","570","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Leclerc","TEX","RP","571","NT 13","26","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevor May","NYM","RP","572","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hector Neris","PHI","RP","573","FA","31","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corbin Martin","ARI","SP","574","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vince Velasquez","PHI","SP","575","FA","28","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shane Baz","TB","SP","576","NT 13","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Matthew Liberatore","STL","SP","577","NCNF","21","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Duffey","MIN","RP","578","NT 4","29","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
