"Player","Team","Position","Rk","Status","Age","Opponent","FPts","FP/G","PA","HR","R","RBI","SB","BB/PA","K/PA","ISO","BABIP","AVG","WOBA"
"Bobby Bradley","CLE","1B","535","NCNF","24","","14","0.93","49","1","4","4","0","0.08","0.41",".178","0.292",".178",".262"
"Greg Bird","PHI","1B","536","CP DLT","28","","14","1.4","41","1","6","1","0","0.15","0.39",".086","0.278",".171",".263"
"Jake Elmore","(N/A)","3B","537","FA","33","","14","0.7","49","0","3","4","0","0.04","0.16",".021","0.256",".213",".220"
"Daniel Palka","(N/A)","OF","538","FA","29","","14","0.47","93","2","4","4","0","0.09","0.38",".071","0.149",".107",".180"
"Jorge Bonifacio","DET","OF","539","FA","27","","13.5","2.7","21","0","3","3","0","0.05","0.33",".150","0.538",".350",".383"
"Erick Mejia","(N/A)","3B","540","FA","26","","13.5","1.5","27","0","3","4","0","0.15","0.26",".045","0.313",".227",".286"
"Rene Rivera","NYM","C","541","FA","37","","13","1.44","20","1","2","3","0","0.15","0.20",".176","0.250",".235",".341"
"Mark Zagunis","CHC","OF","542","FA","27","","13","0.43","40","0","2","5","0","0.10","0.40",".083","0.450",".250",".300"
"Caleb Joseph","TOR","C","543","FA","34","","12.5","0.62","41","0","5","3","0","0.02","0.24",".053","0.286",".211",".228"
"Isaac Galloway","(N/A)","OF","544","FA","31","","12.5","0.66","54","0","6","1","2","0.00","0.31",".019","0.243",".167",".156"
"Travis Jankowski","CIN","OF","545","FA","29","","12","0.48","24","0","4","0","2","0.08","0.17",".000","0.222",".182",".210"
"Taylor Davis","BAL","C","546","FA","31","","12","1.71","20","1","2","4","0","0.10","0.20",".167","0.154",".167",".260"
"Peter O'Brien","ATL","OF","547","FA","30","","12","0.86","47","1","2","4","1","0.09","0.40",".095","0.273",".167",".241"
"Franchy Cordero","KC","OF","548","FA","26","","11.5","1.28","20","0","2","1","1","0.20","0.35",".067","0.556",".333",".386"
"Mark Trumbo","(N/A)","UT","549","FA","34","","11.5","0.96","31","0","1","3","0","0.06","0.16",".103","0.208",".172",".225"
"Tzu-Wei Lin","MIN","SS","550","FA","26","","11","0.85","22","0","3","1","1","0.09","0.27",".100","0.286",".200",".260"
"Max Moroff","STL","2B","551","FA","27","","11","0.55","35","1","3","4","1","0.06","0.46",".125","0.200",".125",".184"
"Alen Hanson","SEA","2B","552","FA","28","","11","0.61","48","0","5","4","1","0.06","0.35",".000","0.259",".163",".177"
"Taylor Ward","LAA","OF","553","FA","27","","10.5","0.53","48","1","4","2","0","0.13","0.48",".143","0.389",".190",".283"
"Anthony Alford","PIT","OF","554","FA","26","","10","0.62","30","1","3","1","2","0.03","0.37",".107","0.250",".179",".234"
"Aaron Altherr","NYM","OF","555","FA","29","","10","0.2","66","1","8","3","0","0.05","0.38",".082","0.111",".082",".138"
"Jose Pirela","(N/A)","2B","556","FA","31","","9.5","0.68","24","1","1","2","0","0.08","0.29",".182","0.214",".182",".268"
"Tyrone Taylor","MIL","OF","557","FA","26","","9","0.6","12","0","1","1","0","0.08","0.08",".200","0.444",".400",".479"
"Cristhian Adames","SF","SS","558","FA","29","","9","0.9","24","0","1","2","0","0.08","0.33",".045","0.500",".318",".337"
"Kaleb Cowart","NYY","3B","559","FA","28","","8.5","0.94","26","0","1","1","1","0.04","0.27",".120","0.222",".160",".205"
"Peter Bourjos","(N/A)","OF","560","FA","33","","8.5","0.33","46","0","4","2","2","0.02","0.33",".023","0.133",".091",".101"
"Ryan Court","OAK","3B","561","FA","32","","8.5","0.71","25","1","1","5","0","0.04","0.44",".167","0.333",".208",".264"
"Brendan McKay","TB","1B,P","562","CP DLT","24","","8","0.47","11","1","2","1","0","0.09","0.18",".300","0.143",".200",".325"
"Tyler Heineman","SF","C","563","FA","29","","8","1.6","12","1","1","2","0","0.00","0.33",".364","0.333",".273",".341"
"Jacob Nottingham","MIL","C","564","FA","25","","7.5","0.83","7","1","1","4","0","0.00","0.29",".500","0.333",".333",".514"
"Franklin Barreto","LAA","2B","565","FA","24","","7.5","0.33","58","2","6","5","1","0.02","0.40",".140","0.156",".123",".169"
"Anthony Bemboom","LAA","C","566","FA","30","","7.5","0.3","56","1","2","4","0","0.02","0.38",".074","0.188",".130",".150"
"Donovan Walton","SEA","SS","567","FA","26","","7.5","1.07","19","0","2","2","0","0.16","0.26",".000","0.273",".188",".256"
"Juan Centeno","BOS","C","568","FA","31","","7.5","1.07","18","0","0","2","1","0.11","0.11",".000","0.154",".133",".222"
"Johnny Davis","TB","OF","569","FA","30","","7","0.88","4","0","5","0","0","0.00","0.50",".500","0.500",".250",".390"
"Edmundo Sosa","STL","SS","570","FA","24","","6.5","0.81","10","0","2","0","1","0.10","0.20",".000","0.333",".250",".327"
"Ryan Flaherty","(N/A)","3B","571","FA","34","","6.5","0.46","22","0","4","1","0","0.00","0.32",".095","0.214",".143",".154"
"Christian Colon","CIN","2B","572","FA","31","","6","0.75","8","0","1","1","0","0.00","0.00",".000","0.500",".500",".525"
"Ronald Torreyes","PHI","SS","573","FA","28","","6","0.86","17","0","3","1","1","0.00","0.18",".000","0.231",".188",".203"
"Braden Bishop","SEA","OF","574","FA","27","","5.5","0.2","60","0","3","4","0","0.05","0.35",".000","0.171",".107",".126"
"Ian Miller","CHC","OF","575","FA","28","","5.5","0.46","17","0","2","1","0","0.00","0.18",".059","0.214",".176",".179"
"David Freitas","MIL","C","576","FA","31","","5.5","0.32","20","0","2","1","0","0.20","0.25",".000","0.091",".067",".189"
"Bobby Wilson","(N/A)","C","577","FA","37","","5.5","0.37","47","0","2","2","0","0.04","0.23",".023","0.121",".091",".114"
"Carter Kieboom","WSH","3B","578","Luka","23","","5","0.45","43","2","4","2","0","0.09","0.37",".154","0.143",".128",".204"
"Luis Torrens","SEA","C","579","FA","24","","5","0.71","16","0","2","0","0","0.13","0.38",".071","0.375",".214",".280"
"Eric Haase","DET","C","580","FA","27","","5","0.5","17","1","1","3","0","0.06","0.47",".188","0.000",".063",".157"
"Adrian Sanchez","WSH","3B","581","FA","30","","5","0.18","32","0","3","1","0","0.03","0.31",".000","0.333",".226",".219"
"Zach Green","MIL","3B","582","FA","26","","4","0.5","16","0","1","1","0","0.13","0.38",".071","0.250",".143",".224"
"Dustin Pedroia","BOS","2B","583","FA","37","","4","0.67","21","0","1","1","0","0.05","0.10",".000","0.111",".100",".120"
"Juan Graterol","MIN","C","584","FA","31","","4","0.67","18","0","1","1","0","0.00","0.22",".000","0.286",".222",".200"
"Jake Fraley","SEA","OF","585","Ass","25","","3.5","0.29","41","0","3","1","0","0.00","0.34",".050","0.231",".150",".167"
"Socrates Brito","PIT","OF","586","FA","28","","3.5","0.21","43","0","5","2","0","0.09","0.40",".051","0.136",".077",".145"
"Jake Noll","WSH","1B","587","FA","26","","3","0.38","13","0","1","2","0","0.08","0.31",".083","0.250",".167",".220"
"Skye Bolt","OAK","OF","588","FA","26","","2.5","0.5","11","0","1","0","0","0.09","0.27",".100","0.143",".100",".178"
"Abiatal Avelino","(N/A)","SS","589","FA","25","","2.5","0.62","8","0","0","1","0","0.13","0.38",".000","0.500",".286",".315"
"Wilkin Castillo","MIA","C","590","FA","36","","2.5","1.25","7","0","0","2","0","0.00","0.43",".143","0.250",".143",".177"
"Deivy Grullon","BOS","C","591","FA","24","","2","0.5","9","0","0","1","0","0.00","0.22",".111","0.143",".111",".138"
"Kean Wong","SF","2B","592","FA","25","","2","0.29","18","0","2","0","0","0.00","0.33",".000","0.250",".167",".150"
"Erik Kratz","NYY","C","593","FA","40","","2","0.1","53","1","1","3","0","0.04","0.26",".102","0.118",".102",".173"
"Andrew Velazquez","BAL","SS","594","FA","26","","1.5","0.1","24","0","3","0","1","0.04","0.54",".087","0.200",".087",".133"
"Sam Haggerty","SEA","OF","595","FA","26","","0.5","0.05","4","0","2","0","0","0.00","0.75",".000","0.000",".000",".000"
"Drew Jackson","(N/A)","SS","596","FA","27","","0.5","0.17","4","0","0","0","0","0.25","0.25",".000","0.000",".000",".180"
"Connor Joe","LAD","OF","597","FA","28","","0.5","0.06","16","0","1","0","0","0.06","0.31",".000","0.100",".067",".101"
"Drew Robinson","SF","OF","598","FA","28","","0.5","0.1","7","0","1","0","0","0.00","0.43",".000","0.250",".143",".129"
"Jarred Kelenic","SEA","OF","599","MBC","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Mountcastle","BAL","OF","600","ZL","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Robert","CHW","OF","601","MSBC","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wander Franco","TB","SS","602","CP DLT","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andrew Vaughn","CHW","1B","603","DEAL","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alec Bohm","PHI","3B","604","NT 13","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dylan Carlson","STL","OF","605","NT 13","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ke'Bryan Hayes","PIT","3B","606","NT 4","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Madrigal","CHW","2B","607","ZL","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Salvador Perez","KC","C","608","BART","30","","0","0","0","0","0","0","0","0","0",".000","0.000","0","0"
"Jake Cronenworth","SD","2B","609","Nunez","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jo Adell","LAA","OF","610","DEAL","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Joey Bart","SF","C","611","CP DLT","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bobby Dalbec","BOS","1B","612","Luka","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alex Kirilloff","MIN","OF","613","NT 4","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Leody Taveras","TEX","OF","614","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daulton Varsho","ARI","OF","615","NT 13","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Evan White","SEA","1B","616","VP","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cristian Pache","ATL","OF","617","CP DLT","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andres Gimenez","NYM","SS","618","VP","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Adley Rutschman","BAL","C","619","MSBC","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jazz Chisholm","MIA","2B","620","Nunez","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Julio Rodriguez","SEA","OF","621","DEAL","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Spencer Torkelson","DET","3B","622","MBC","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sam Huff","TEX","C","623","Nunez","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vidal Brujan","TB","2B","624","NT 13","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ha-seong Kim","(N/A)","SS","625","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Garcia","WSH","2B","626","Luka","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Stephenson","CIN","C","627","Nunez","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alejandro Kirk","TOR","C","628","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeter Downs","BOS","SS","629","MSBC","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shogo Akiyama","CIN","OF","630","MBC","32","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yoshi Tsutsugo","TB","UT","631","MBC","29","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Royce Lewis","MIN","SS","632","NT 4","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Drew Waters","ATL","OF","633","DEAL","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"JJ Bleday","MIA","OF","634","CP DLT","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Taylor Trammell","SEA","OF","635","MBC","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Jeffers","MIN","C","636","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nolan Jones","CLE","3B","637","NT 13","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Trevor Larnach","MIN","OF","638","ZL","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bobby Witt Jr.","KC","SS","639","BFT","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Jung","TEX","3B","640","MSBC","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oneil Cruz","PIT","SS","641","Luka","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Martin","TOR","3B","642","DEAL","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brandon Marsh","LAA","OF","643","NCNF","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaac Paredes","DET","3B","644","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"CJ Abrams","SD","SS","645","DEAL","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Freeman","CLE","SS","646","Ass","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Triston Casas","BOS","3B","647","VP","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kristian Robinson","ARI","OF","648","ZL","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keibert Ruiz","LAD","C","649","DEAL","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Josh Lowe","TB","3B","650","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Heliot Ramos","SF","OF","651","DEAL","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nolan Gorman","STL","3B","652","DEAL","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marco Luciano","SF","SS","653","DEAL","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Riley Greene","DET","OF","654","VP","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jarren Duran","BOS","OF","655","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Edward Olivares","KC","OF","656","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jasson Dominguez","NYY","OF","657","MSBC","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alek Thomas","ARI","OF","658","NT 4","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Groshans","TOR","3B,SS","659","NT 4","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Seth Beer","ARI","OF","660","CP DLT","24","","0","0","0","0","0","0","0","0","0",".000","0.000","0","0"
"Lewin Diaz","MIA","1B","661","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Noelvi Marte","SEA","SS","662","NCNF","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Campusano","SD","UT","663","VP","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Garcia","CIN","SS","664","BART","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hunter Bishop","SF","OF","665","VP","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corbin Carroll","ARI","OF","666","ZL","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brennen Davis","CHC","OF","667","ZL","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronny Mauricio","NYM","SS","668","MBC","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"George Valera","CLE","OF","669","Ass","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Gonzales","PIT","SS","670","NT 4","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zac Veen","COL","OF","671","MSBC","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jonathan India","CIN","3B","672","Nunez","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Xavier Edwards","TB","SS","673","Luka","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Puason","OAK","SS","674","Luka","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kody Hoese","LAD","3B","675","NT 13","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Geraldo Perdomo","ARI","SS","676","BFT","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Francisco Alvarez","NYM","C","677","MBC","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brent Rooker","MIN","OF","678","FA","26","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Anderson Tejeda","TEX","SS","679","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brett Baty","NYM","3B","680","MBC","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Erick Pena","KC","OF","681","ZL","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Rodriguez","LAD","OF","682","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Toglia","COL","1B","683","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jared Oliva","PIT","OF","684","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luisangel Acuna","TEX","SS","685","ZL","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Estevan Florial","NYY","OF","686","Ass","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Orelvis Martinez","TOR","SS","687","ZL","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jesus Sanchez","MIA","OF","688","Ass","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Monte Harrison","MIA","OF","689","NT 13","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pavin Smith","ARI","1B","690","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Heston Kjerstad","BAL","OF","691","MBC","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Maximo Acosta","TEX","SS","692","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Garrett Mitchell","MIL","OF","693","NT 4","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pete Crow-Armstrong","NYM","OF","694","NT 4","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Hendrick","CIN","OF","695","DEAL","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Matos","SF","OF","696","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Travis Swaggerty","PIT","OF","697","NCNF","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yusniel Diaz","BAL","OF","698","Nunez","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ed Howard","CHC","SS","699","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordyn Adams","LAA","OF","700","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Robert Hassell III","SD","OF","701","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Khalil Lee","KC","OF","702","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bayron Lora","TEX","OF","703","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Bracho","CLE","2B","704","NCNF","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hedbert Perez","MIL","OF","705","FA","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brayan Rocchio","CLE","SS","706","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michael Busch","LAD","2B","707","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hudson Head","SD","OF","708","NCNF","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Greg Jones","TB","SS","709","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Sabato","MIN","1B,SS","710","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryson Stott","PHI","SS","711","Luka","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Misael Urbina","MIN","OF","712","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Wells","NYY","C","713","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sherten Apostel","TEX","1B","714","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daz Cameron","DET","OF","715","Luka","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Miguel Amaya","CHC","C","716","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Liover Peguero","PIT","SS","717","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Walker","STL","3B","718","MBC","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexander Canario","SF","OF","719","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Isaiah Greene","NYM","OF","720","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Justin Foscue","TEX","2B,OF","721","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Shea Langeliers","ATL","C","722","BFT","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kameron Misner","MIA","OF","723","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Heriberto Hernandez","TB","C","724","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gilberto Jimenez","BOS","OF","725","NT 13","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexfri Planez","CLE","OF","726","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Soderstrom","OAK","C","727","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brice Turang","MIL","SS","728","Nunez","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kevin Alcantara","NYY","OF","729","ZL","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bryce Ball","ATL","1B","730","MSBC","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Keoni Cavaco","MIN","SS","731","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Johnson","CLE","OF","732","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Diego Cartaya","LAD","C","733","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeremiah Jackson","LAA","SS","734","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Blaze Jordan","BOS","1B","735","FA","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mark Vientos","NYM","3B,SS","736","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Colton Welker","COL","3B","737","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jorge Mateo","SD","2B","738","FA","25","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peyton Burdick","MIA","OF","739","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Grant Lavigne","COL","1B","740","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Braden Shewmake","ATL","SS","741","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mickey Moniak","PHI","OF","742","NCNF","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"William Contreras","ATL","C","743","BART","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gabriel Arias","CLE","SS","744","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Daniel Cabrera","DET","OF","745","BFT","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ivan Herrera","STL","C","746","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Casey Martin","PHI","1B,2B,3B,SS","747","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Luis Toribio","SF","3B","748","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gunnar Henderson","BAL","SS","749","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ronaldo Hernandez","TB","C","750","NCNF","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Victor Victor Mesa","MIA","OF","751","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Freudis Nova","HOU","SS","752","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yoenis Cespedes","NYM","UT","753","FA","35","","0","0","0","0","0","0","0","0","0",".000","0.000","0","0"
"Zach DeLoach","SEA","OF","754","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mason Martin","PIT","1B","755","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Bo Naylor","CLE","C","756","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Carson Tucker","CLE","SS","757","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Miguel Vargas","LAD","3B","758","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Dillon Dingler","DET","C","759","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Ryan Vilade","COL","SS","760","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Will Wilson","SF","SS","761","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Miguel Hiraldo","TOR","3B","762","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Kyle Isbel","KC","OF","763","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Parker Meadows","DET","OF","764","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Andy Pages","LAD","OF","765","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cal Raleigh","SEA","C","766","FA","24","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Masyn Winn","STL","SS","767","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Brenton Doyle","COL","OF","768","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rece Hinds","CIN","3B","769","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Aaron Schunk","COL","3B","770","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jahmai Jones","LAA","2B","771","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jose Marmolejos","SEA","OF","772","FA","27","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lazaro Armenteros","OAK","OF","773","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tucupita Marcano","SD","3B","774","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Wilderd Patino","ARI","OF","775","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chase Strumpf","CHC","2B","776","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jordan Westburg","BAL","SS","777","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nick Yorke","BOS","SS","778","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tyler Callihan","CIN","2B","779","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Oswald Peraza","NYY","SS","780","FA","20","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Canaan Smith","NYY","OF","781","FA","21","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Austin Beck","OAK","OF","782","FA","22","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jerar Encarnacion","MIA","OF","783","FA","23","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jeferson Espinal","ARI","OF","784","FA","18","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reginald Preciado","SD","SS","785","FA","17","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Alexander Vargas","NYY","SS","786","FA","19","","0","0","0","0","0","0","0","0","0","0","0","0","0"
